p,y
http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82955
http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q609698
http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q998689
http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q6859454
http://www.wikidata.org/prop/direct/P69,http://www.wikidata.org/entity/Q8030657
http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q14204246
http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q99760422
http://schema.org/description,ウィキメディアのプロジェクトページ
http://schema.org/description,página de proyecto de Wikimedia
http://www.w3.org/2004/02/skos/core#altLabel,Amy Agnes Kaukonen
http://www.wikidata.org/prop/P31,http://www.wikidata.org/entity/statement/Q8615010-75df252c-44ee-0a62-ae1a-bf0b0ff26b6a
http://www.wikidata.org/prop/P31,http://www.wikidata.org/entity/statement/Q8615010-01e43923-444f-9fc5-ca75-45761cccac79
http://www.w3.org/2004/02/skos/core#altLabel,Amy A. Kaukonen
http://www.wikidata.org/prop/P31,http://www.wikidata.org/entity/statement/Q58815693-1771f533-4e63-a3a3-9bea-c9c3f35800c1
http://www.wikidata.org/prop/P19,http://www.wikidata.org/entity/statement/Q58815693-399b369f-4661-149e-3ec6-30d461fea1f9
http://www.wikidata.org/prop/P27,http://www.wikidata.org/entity/statement/Q58815693-dafa97b7-4d9b-0fb3-1f8d-6a09a2ca4f91
http://www.wikidata.org/prop/P20,http://www.wikidata.org/entity/statement/Q58815693-e983b500-4dd7-51ad-a96d-458695ea0a36
http://schema.org/description,one of the first female mayors in the USA
http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5
http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q30185
http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30
http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q39631
http://wikiba.se/ontology#statements,3
http://wikiba.se/ontology#statements,15
http://wikiba.se/ontology#sitelinks,1
http://wikiba.se/ontology#sitelinks,36
http://wikiba.se/ontology#identifiers,0
http://wikiba.se/ontology#identifiers,1
http://schema.org/description,Wikimedia-projectpagina
http://schema.org/description,Wikimedia project page
http://www.w3.org/2000/01/rdf-schema#label,വിക്കിപീഡിയ:സ്വാഗതം (Welcome)
http://www.wikidata.org/prop/P31,http://www.wikidata.org/entity/statement/Q8615010-BBD177A7-D386-4EDB-BE34-F5E8A4FC3F85
http://schema.org/description,دليل كل مستخدم جديد
http://schema.org/description,دليل كل مستخدم جديد
http://www.w3.org/2000/01/rdf-schema#label,مساعدة: الابتداء
http://www.w3.org/2000/01/rdf-schema#label,مساعدة : الابتداء
http://www.w3.org/2000/01/rdf-schema#label,সহায়:সূচী/ভূমিকা
http://www.w3.org/2000/01/rdf-schema#label,کؤمک:ایچیندهکیلر/باشلاما
http://www.w3.org/2000/01/rdf-schema#label,Даведка:Змест/Першыя крокі
http://www.w3.org/2000/01/rdf-schema#label,Дапамога:Зьмест/Пачаткоўцам
http://www.w3.org/2000/01/rdf-schema#label,সাহায্য:সূচী/কিভাবে শুরু করবেন
http://www.w3.org/2000/01/rdf-schema#label,Wikipedia:Kako početi
http://www.w3.org/2000/01/rdf-schema#label,یارمەتی:پێرست/دەست پێکردن
http://www.w3.org/2000/01/rdf-schema#label,Pomoc: První kroky
http://www.w3.org/2000/01/rdf-schema#label,Hjælp:Forside/At komme igang
http://www.w3.org/2000/01/rdf-schema#label,އެހީ:Contents/Getting started
http://www.w3.org/2000/01/rdf-schema#label,Help:Getting started
http://www.w3.org/2000/01/rdf-schema#label,Ayuda: Primeros Pasos
http://www.w3.org/2000/01/rdf-schema#label,راهنما:فهرست/شروع
http://www.w3.org/2000/01/rdf-schema#label,Aide:Sommaire/Débuter
http://schema.org/description,Le guide d'un nouveau utilisateur
http://www.w3.org/2000/01/rdf-schema#label,મદદ: અહી મળો.
http://www.w3.org/2000/01/rdf-schema#label,עזרה:תפריט ראשי/על אודות ויקיפדיה
http://www.w3.org/2000/01/rdf-schema#label,मदद: प्रारंभ करना
http://www.w3.org/2000/01/rdf-schema#label,Wikipédia:Segítség/A kezdetek
http://www.w3.org/2000/01/rdf-schema#label,Վիքիպեդիա:ՎիքիՆախագիծ Ուղեգիծ/Հաքաթոն/Օգնություն:Պարունակություն/Ինչից սկսել
http://www.w3.org/2000/01/rdf-schema#label,Help:Getting started
http://www.w3.org/2000/01/rdf-schema#label,Help:目次 相談と質問
http://www.w3.org/2000/01/rdf-schema#label,ជំនួយ:មាតិកា/សេចក្តីផ្តើម
http://www.w3.org/2000/01/rdf-schema#label,Palīdzība:Darba uzsākšana
http://www.w3.org/2000/01/rdf-schema#label,Wikipedia:Getting started
http://www.w3.org/2000/01/rdf-schema#label,Hjelp:Komme i gang
http://www.w3.org/2000/01/rdf-schema#label,Help:Getting started
http://www.w3.org/2000/01/rdf-schema#label,Help:Inhoud/Om te beginnen
http://www.w3.org/2000/01/rdf-schema#label,Ajuda:Somari/Amodar
http://www.w3.org/2000/01/rdf-schema#label,ସହଯୋଗ:Getting started
http://www.w3.org/2000/01/rdf-schema#label,Pomoc:Pierwsze kroki
http://www.w3.org/2000/01/rdf-schema#label,ajuda:começando
http://www.w3.org/2000/01/rdf-schema#label,Help:Gettin stairtit
http://www.w3.org/2000/01/rdf-schema#label,Pomoć:Sadržaj/Prvi koraci
http://www.w3.org/2000/01/rdf-schema#label,උදවු:පටුන/මෙතනින් අරඹන්න
http://www.w3.org/2000/01/rdf-schema#label,Ndihmë:Përmbajtja/Fillimi
